ID;Problemas;Teoría;Total
4010;0;3,9312;-
4020;0;2,5125;-
4030;0,43;2,9937;-
4040;0;0,3625;-
4050;1,25;2,5;3,75
4060;0,44;0;-
4070;0,6;4,8;-
4080;0,87;3,975;-
4090;NP;--;--
4100;NP;--;--
4110;0;--;--
4120;NP;--;--
4130;NP;--;--
4140;1,75;3,7625;5,5125
4150;NP;--;--
4160;0;0;-
4170;0;--;--
4180;0;0,9312;-
4190;0,185;--;--
4200;0;1,2937;-
4210;1,25;2,975;4,225
4220;1,005;2,825;-
4230;0,2;0,675;-
4240;0;--;--
4250;1,255;2,7812;4,0362
4260;0,15;2,4125;-
4270;0,11;0,4375;-
4280;0;0,3437;-
4290;1,675;2,3125;3,9875
4300;0;0;-
4310;0;0,5;-
4320;4,12;4,7687;8,8887
4330;0,31;2,2625;-
4340;0;--;--
4350;0,025;0,025;-
4360;0,5;3,0062;-
4370;1,75;1,7;3,45
4380;0,01;3,1937;-
4390;0;4,7062;-
4400;0,155;1,8437;-
4410;0;1,9875;-
4420;0;0;-
4430;NP;--;--
4440;4,175;2,5937;6,7687
4450;0,19;0,3;-
4460;0;0,3562;-
4470;0,545;0,85;-
4480;0,165;0,7187;-
4490;1,337;2,905;4,242
4500;0,341;3,325;-
4510;1,624;4,09;5,714
4520;1,533;1,355;2,888
4530;0,056;0,26;-
4540;1,263;2,245;3,508
4550;0,332;0,97;-
4560;0,041;0,21;-
4570;NP;--;--
4580;1,688;2,91;4,598
4590;NP;--;--
4600;0,196;--;--
4610;NP;--;--
4620;1,864;4,02;5,884
4630;2,338;3,915;6,253
4640;0,072;0,655;-
4650;NP;--;--
4660;0;0;-
4670;0,098;2,895;-
4680;1,143;2,91;-
4690;0,179;0,95;-
4700;1,682;3,455;5,137
4710;1,916;3,94;5,856
4720;1,697;3,105;4,802
4730;0;1,77;-
4740;0,019;0,695;-
4750;0,266;1,255;-
4760;0,084;2,64;-
4770;NP;--;--
4780;0;0,415;-
4790;0,792;0,135;-
4800;0,364;2,545;-
4810;0,413;1,26;-
4820;0,04;1,05;-
4830;0,048;3,65;-
4840;NP;--;--
4850;0,222;2,595;-
4860;1,354;4,055;5,409
4870;0,916;1,55;-
4880;0,481;0,435;-
4890;0,084;0,785;-
4900;0,13;2,6;-
4910;3,094;3,815;6,909
4920;0,492;0,05;-
4930;0,067;--;--
4940;NP;--;--
4950;0,225;0;-
4960;0;0,1;-
4970;NP;--;--
4980;NP;--;--
4990;NP;--;--
5000;0;0;-
5010;NP;--;--
5020;0,074;1,53;-
5030;1,308;1,795;3,103
5040;3,296;4,125;7,421
5050;0;0;-
5060;0,407;3,485;-
5070;2,281;4,26;6,541
5080;1,416;3,86;5,276
5090;1,586;3,775;5,361
5100;NP;--;--
5110;NP;--;--
5120;0,029;0,065;-
5130;0;1,705;-
5140;0,698;1,82;-
5150;0,055;0,715;-
5160;0,027;0,065;-
5170;0,035;0,985;-
5180;0,639;3,585;-
5190;0;0,6;-
5200;NP;--;--
5210;0;0,11;-
5220;0,038;--;--
5230;0,949;4;-
5240;1,075;3,895;-
5250;0;--;--
5260;0;--;--
5270;0;0,3;-
5280;NP;--;--
5290;0,005;1,225;-
5300;0;2,0437;-
5310;0,145;3,125;-
5320;NP;--;--
5330;0;0;-
5340;0;0,4562;-
5350;1,04;1,625;-
5360;NP;--;--
5370;0;0;-
5380;1,73;1,1687;-
5390;0;0,8375;-
5400;0,565;0;-
5410;0,355;4,1812;-
5420;0;0,5062;-
5430;0,655;1,5125;-
5440;0;1,4625;-
5450;NP;--;--
5460;0;--;--
5470;0;0;-
5480;0,24;0,1375;-
5490;NP;--;--
5500;0,225;0,1875;-
5510;NP;--;--
5520;0;0,6437;-
5530;0,96;2,1;-
5540;1,45;2,775;4,225
5550;0,285;3,15;-
5560;NP;--;--
5570;0,19;--;--
5580;0,745;2,0375;-
5590;0;--;--
5600;0,24;2,525;-
5610;0,085;0;-
5620;NP;--;--
5630;1,25;0;-
5640;2,015;4,1312;6,1462
5650;0;0,4687;-
5660;0;--;--
5670;0;0;-
5680;0,03;0,1;-
5690;0,61;2,4437;-
5700;0,66;0,45;-
5710;2,485;0,1375;-
5720;1,055;1,05;-
5730;NP;--;--
5740;NP;--;--
5750;1,4;1,9687;3,3687
5760;NP;--;--
5770;2,215;4,675;6,89
5780;1,25;0,7875;-
5790;0,025;0,9562;-
5800;0,83;2,55;-
5810;0,16;3,2187;-
5820;0,185;2,7437;-
5830;1,62;1;-
5840;0,445;0,8937;-
5850;0;0,0625;-
5860;1,47;0,9937;-
5870;0;--;--
5880;0;0,1437;-
5890;0,445;1,725;-
5900;2,4;2,3687;4,7687
5910;1,505;3,7687;5,2737
5920;0,33;3,2562;-
5930;0;2,0625;-
5940;0,72;1,3125;-
5950;2,985;4,0062;6,9912
5960;NP;--;--
5970;0;0,325;-
5980;NP;--;--
5990;0;0,6;-
6000;NP;--;--
6010;0;0;-
6020;0;4,75;-
6030;NP;--;--
6040;NP;--;--
6050;0,445;2,5875;-
6060;0;1,6;-
6070;0;1,1875;-
6080;1,355;1,6125;2,9675
6090;1,995;3,2062;5,2012
6100;1,865;2,9437;4,8087
6110;0,525;1,9437;-
6120;NP;--;--
6130;NP;--;--
6140;0;0;-
6150;1,22;0;-
6160;NP;--;--
6170;0,18;0,1875;-
6180;1,185;3,6875;-
6190;0,37;0;-
6200;NP;--;--
6210;0,28;0,025;-
6220;1,82;3,0687;4,8887
6230;NP;--;--
6240;0;0,175;-
6250;1,34;3,5125;4,8525
6260;0;0;-
6270;0,065;0;-
6280;NP;--;--
6290;2,04;3,8187;5,8587
6300;2,96;4,4187;7,3787
6310;0;--;--
6320;2,075;3,325;5,4
6330;1,475;0,9812;-
6340;NP;--;--
6350;0;--;--
6360;0,245;1,4812;-
6370;1,1;4,0437;-
6380;4,165;4,3312;8,4962
6390;0,66;2,6062;-
6400;1,395;2,8812;4,2762
6410;NP;--;--
6420;0,345;0,3;-
6430;NP;--;--
6440;0,51;2,9562;-
6450;NP;--;--
6460;0,55;0,825;-
6470;1,055;4,8375;-
6480;NP;--;--
6490;0,86;2,3125;-
6500;0;1,4687;-
6510;1,4;3,2625;4,6625
6520;2,51;2,15;4,66
6530;0,42;2,9583;-
6540;0;0,2875;-
6550;0;0;-
6560;NP;--;--
6570;0;--;--
6580;0;--;--
6590;0,095;0,2375;-
6600;1,775;2,9937;4,7687
6610;0;1,3625;-
6620;0;--;--
6630;0,05;0;-
6640;0,64;2,0812;-
6650;0,75;2,6187;-
6660;0;--;--
6670;NP;--;--
6680;0;--;--
6690;0,26;2,1562;-
6700;1,975;1,625;3,6
6710;0,515;2,8062;-
6720;0,89;1,2875;-
6730;0;--;--
6740;0;0,4437;-
6750;0,06;0,2562;-
6760;0;0;-
6770;1,71;1,2875;2,9975
6780;1,055;4,1;-
6790;0,025;0,8687;-
6800;0;2,2375;-
6810;0,23;--;--
6820;0,05;3,3125;-
6830;NP;--;--
6840;0,095;0,4437;-
6850;0;0;-
6860;0,01;0,475;-
6870;0,2;1,1312;-
6880;2,565;4,1875;6,7525
6890;NP;--;--
6900;0,835;0,05;-
6910;0,305;1,4812;-
6920;0,37;1,5937;-
6930;0,575;1,4062;-
6940;0;1,975;-
6950;NP;--;--
6960;NP;--;--
6970;0,2;--;--
6980;NP;--;--
6990;NP;--;--
7000;0,01;0,2875;-
7010;NP;--;--
7020;0;0;-
7030;NP;--;--
7040;0,09;2,4;-
7050;0,985;1,575;-
7060;0,185;2,425;-
7070;0;--;--
7080;NP;--;--
7090;0;0;-
7100;NP;--;--
7110;0,195;1,1625;-
7120;0;0,4187;-
7130;0,125;1,9187;-
7140;NP;--;--
7150;2,455;4,125;6,58
7160;NP;--;--
7170;NP;--;--
7180;1,52;3,775;5,295
7190;0,26;0;-
7200;3,725;2,375;6,1
7210;0,655;3,6437;-
7220;0;0;-
7230;0;0;-
7240;0,62;0,5937;-
7250;2,23;3,6;5,83
7260;0,04;0,0875;-
7270;NP;--;--
7280;0;1,3187;-
7290;0;0;-
7300;0,51;0;-
7310;0;--;--
7320;0;0,4375;
7330;NP;--;--
7340;0,04;--;--
7350;0,36;3,8333;-
7360;NP;--;--
7370;0,495;3,6145;-
7380;NP;--;--
7390;0,14;0,7187;-
7400;0,985;2,75;-
7410;0,395;2,4312;-
7420;0,1;1;-
7430;1,405;3,0562;4,4612
7440;0;--;--
7450;1,6;3,427;5,027
7460;0,45;2,2812;-
7470;0;--;--
7480;0,07;1,1375;-
7490;0,085;0,7375;-
7500;0,8;2,0937;-
7510;0;3,0312;-
7520;NP;--;--
7530;2,52;3,3625;5,8825
7540;0,005;0,5125;-
7550;NP;--;--
7560;1,92;2,6625;4,5825
7570;NP;--;--
7580;0;0,3375;-
7590;0;--;--
7600;NP;--;--
7610;0,5812;4,1093;-
7620;0;0,3593;-
7630;0;0;-
7640;NP;--;--
7650;0;0,9453;-
7660;0;0,3515;-
7670;0,6625;1,3593;-
7680;0;3,6328;-
7690;NP;--;--
7700;0;0;-
7710;NP;--;--
7720;NP;--;--
7730;NP;--;--
7740;1,8062;2,5703;4,3765
7750;NP;--;--
7760;0,4062;0,914;-
7770;0;0,7656;-
7780;NP;--;--
7790;0;2,1406;-
7800;NP;--;--
7810;1,9625;1,6093;3,5718
7820;NP;--;--
7830;0;0,0312;-
7840;0;--;--
7850;0,5;0;-
7860;0,0687;0,3125;-
7870;NP;--;--
7880;0,0687;0;-
7890;1,7937;4,0468;5,8405
7900;0,8375;1,8984;-
7910;NP;--;--
7920;0;0,2578;-
7930;0,3625;1,1796;-
7940;NP;--;--
7950;0,1937;4,1328;-
7960;0,075;1,6718;-
7970;0;1,0781;-
7980;0;--;--
7990;0,0687;0;-
8000;NP;--;--
8010;NP;--;--
8020;NP;--;--
8030;0,0125;0,2656;-
8040;NP;--;--
8050;0;--;--
8060;0;0;-
8070;0,2;2,8671;-
8080;0,0187;--;--
8090;NP;--;--
8100;0,1375;3,9296;-
8110;NP;--;--
8120;2,7125;2,414;5,1265
8130;0,8312;1,2578;-
8140;NP;--;--
8150;0;--;--
8160;0,1875;0;-
8170;0;2,0156;-
8180;3,9125;4,5;8,4125
8190;0,9187;1,3593;-
8200;0;3,4843;-
8210;0,4062;2,0546;-
8220;0,7125;4,2968;-
8230;0,5875;4,2031;-
8240;NP;--;--
8250;NP;--;--
8260;0,4687;--;--
8270;NP;--;--
8280;0,2062;1,5625;-
8290;NP;--;--
8300;0;0,0937;-
8310;2,7562;2,0937;4,8499
8320;0,4187;0,4375;-
8330;0,8687;1,4296;-
8340;0,575;0,414;-
8350;0,925;4,5859;-
8360;NP;--;--
8370;0,0125;1,2578;-
8380;0,0937;0,6093;-
